X: 19, Y: -40, Z: 24
X: -15, Y: -60, Z: 21
X: -14, Y: -18, Z: 22
X: -10, Y: -58, Z: 10
X: 5, Y: -20, Z: 0
X: 9, Y: -76, Z: 39
X: -13, Y: -86, Z: 4
X: -12, Y: -58, Z: 28
X: -12, Y: -53, Z: -21
X: 17, Y: -55, Z: 33
X: -18, Y: -37, Z: 32
X: 25, Y: -67, Z: 17
X: 11, Y: -46, Z: 27
X: 2, Y: -18, Z: -3
X: -11, Y: -28, Z: 20
X: 14, Y: -36, Z: 23
X: -1, Y: -34, Z: 41
X: -16, Y: -63, Z: 0
X: 19, Y: -53, Z: 12
X: 4, Y: -74, Z: 37
X: -42, Y: -27, Z: 17
X: -23, Y: -48, Z: 24
X: 16, Y: -41, Z: -12
X: 14, Y: -44, Z: -17
X: -7, Y: -73, Z: 7
X: 18, Y: -36, Z: 20
X: 12, Y: -42, Z: -6
X: 8, Y: -37, Z: 21
X: -32, Y: -48, Z: 31
X: -22, Y: -35, Z: -9
X: -3, Y: -44, Z: 2
X: 18, Y: -58, Z: 11
X: 6, Y: -19, Z: 17
X: -30, Y: -42, Z: -4
X: 17, Y: -44, Z: 7
X: 7, Y: -31, Z: 21
X: -3, Y: -54, Z: -16
X: -25, Y: -54, Z: 3
X: 3, Y: -53, Z: 6
X: 5, Y: -48, Z: 47
X: -8, Y: 1, Z: 34
X: -21, Y: -22, Z: 19
X: -23, Y: -15, Z: 55
X: -10, Y: -62, Z: 18
X: -13, Y: -9, Z: 16
X: 5, Y: -91, Z: 7
X: -28, Y: -57, Z: 27
X: 6, Y: -5, Z: 19
X: 21, Y: -55, Z: -3
X: 5, Y: -61, Z: 38
X: -12, Y: -52, Z: 2
X: 8, Y: -60, Z: 12
X: 13, Y: -44, Z: -5
X: 4, Y: -24, Z: 4
X: -14, Y: -71, Z: 9
X: 7, Y: -52, Z: 39
X: -5, Y: -15, Z: 15
X: -17, Y: -67, Z: -14
X: 3, Y: -55, Z: 7
X: -10, Y: -35, Z: 4
X: 2, Y: -46, Z: 24
X: -5, Y: -30, Z: 23
X: -5, Y: -35, Z: 7
X: -13, Y: -26, Z: 43
X: 11, Y: -43, Z: 19
X: -15, Y: -64, Z: 35
X: -7, Y: -30, Z: 37
X: 19, Y: -78, Z: 42
X: -5, Y: -24, Z: 3
X: -25, Y: -25, Z: 24
X: -7, Y: -12, Z: 3
X: 21, Y: -68, Z: 4
X: -10, Y: -12, Z: 12
X: -15, Y: -30, Z: 21
X: -33, Y: -22, Z: -5
X: -45, Y: -34, Z: 17
X: 6, Y: -23, Z: 5
X: 13, Y: -56, Z: -3
X: 31, Y: -19, Z: 26
X: -28, Y: -48, Z: 34
X: -9, Y: -72, Z: 7
X: -3, Y: -41, Z: 30
X: 17, Y: -26, Z: -1
X: -5, Y: -41, Z: 13
X: -33, Y: -27, Z: -14
X: -8, Y: -57, Z: 39
X: -8, Y: -58, Z: 28
X: 2, Y: -63, Z: -8
X: 16, Y: -73, Z: -2
X: 18, Y: -26, Z: 21
X: -20, Y: -56, Z: -10
X: -3, Y: -71, Z: -12
X: 2, Y: -17, Z: 18
X: 14, Y: -36, Z: 8
X: 32, Y: -39, Z: 43
X: 20, Y: -70, Z: -15
X: 11, Y: -79, Z: 8
X: -6, Y: -78, Z: -19
X: -16, Y: -71, Z: 11
X: 5, Y: -54, Z: 39
X: -11, Y: -25, Z: 11
X: 1, Y: -45, Z: -29
X: -5, Y: -10, Z: 41
X: -31, Y: -43, Z: 10
X: 10, Y: -14, Z: 18
X: -24, Y: -27, Z: -9
X: -42, Y: -23, Z: 36
X: 15, Y: -37, Z: 25
X: 0, Y: -22, Z: 4
X: 14, Y: -25, Z: -9
X: 6, Y: -43, Z: 33
X: 12, Y: -30, Z: -2
X: -57, Y: -50, Z: 13
X: -28, Y: -23, Z: 2
X: -1, Y: -72, Z: 2
X: -6, Y: -50, Z: -9
X: -12, Y: -4, Z: 36
X: -6, Y: -24, Z: 24
X: -14, Y: -37, Z: 16
X: 15, Y: -46, Z: 7
X: -5, Y: -13, Z: 5
X: -18, Y: -27, Z: 3
X: -24, Y: -63, Z: 31
X: -4, Y: -29, Z: 29
X: 9, Y: -31, Z: 34
X: 9, Y: -57, Z: 31
X: -25, Y: -85, Z: 15
X: -16, Y: -31, Z: 0
X: -6, Y: -96, Z: 23
X: 27, Y: -48, Z: -2
X: -1, Y: -58, Z: 30
X: -7, Y: -80, Z: 5
X: 9, Y: -84, Z: -20
X: 14, Y: -26, Z: -16
X: -33, Y: -32, Z: 6
X: 8, Y: -53, Z: 0
X: -19, Y: -30, Z: 46
X: 5, Y: -38, Z: -8
X: -7, Y: -9, Z: 1
X: -19, Y: -34, Z: 4
X: -12, Y: -29, Z: 61
X: 30, Y: -48, Z: -12
X: 8, Y: -33, Z: 32
X: 3, Y: -41, Z: 19
X: -9, Y: -28, Z: 11
X: 34, Y: -43, Z: 12
X: 5, Y: -66, Z: 20
X: -25, Y: -44, Z: -2
X: -16, Y: -62, Z: 32
X: -12, Y: -42, Z: 2
X: -30, Y: -62, Z: 8
X: -2, Y: -59, Z: 25
X: 22, Y: -17, Z: 3
X: 43, Y: -42, Z: -25
X: -30, Y: -40, Z: -1
X: 3, Y: -55, Z: 36
X: 4, Y: -24, Z: 29
X: 11, Y: -41, Z: 15
X: -9, Y: -25, Z: 25
X: 29, Y: -17, Z: 18
X: -16, Y: -59, Z: -12
X: -7, Y: -12, Z: 31
X: -26, Y: -37, Z: 14
X: -7, Y: -34, Z: 38
X: -19, Y: -62, Z: -2
X: -2, Y: 6, Z: 20
X: -1, Y: -7, Z: 1
X: -26, Y: -37, Z: 18
X: -7, Y: -45, Z: -19
X: -5, Y: -37, Z: -6
X: 17, Y: -27, Z: 32
X: 7, Y: -17, Z: -16
X: -19, Y: 10, Z: 3
X: 0, Y: -45, Z: -11
X: -33, Y: -53, Z: -23
X: -9, Y: -14, Z: 9
X: 1, Y: -59, Z: 15
X: 14, Y: -9, Z: 22
X: -38, Y: -37, Z: 44
X: 14, Y: -66, Z: 1
X: -4, Y: -28, Z: 34
X: 11, Y: -14, Z: 34
X: 13, Y: -23, Z: -6
X: -9, Y: -55, Z: -5
X: -23, Y: -52, Z: 6
X: -8, Y: -37, Z: 28
X: -25, Y: -10, Z: 19
X: 3, Y: -42, Z: 27
X: 16, Y: -10, Z: 2
X: -32, Y: -69, Z: 18
X: 5, Y: -43, Z: -11
X: -17, Y: -39, Z: -5
X: 15, Y: -85, Z: 20
X: 1, Y: 2, Z: 10
X: -29, Y: -39, Z: -67
X: 6, Y: -14, Z: 10
X: -15, Y: -51, Z: 71
X: -32, Y: -35, Z: 7
X: 1, Y: -42, Z: 16
X: 2, Y: -27, Z: 11
X: -24, Y: -17, Z: 28
X: 3, Y: -21, Z: 21
X: -18, Y: 6, Z: 4
X: -9, Y: -61, Z: 51
X: -7, Y: -30, Z: 1
X: -11, Y: -12, Z: 22
X: -11, Y: -12, Z: -17
X: 20, Y: -40, Z: 17
X: 11, Y: -48, Z: 29
X: -22, Y: -41, Z: 13
X: -36, Y: -90, Z: -1
X: -15, Y: -65, Z: -2
X: -24, Y: -63, Z: -12
X: -10, Y: -22, Z: 16
X: 30, Y: -38, Z: 50
X: -1, Y: -24, Z: 50
X: -9, Y: -84, Z: 10
X: 17, Y: -19, Z: 12
X: -22, Y: -29, Z: 5
X: 21, Y: 3, Z: 33
X: 19, Y: -19, Z: 23
X: 2, Y: -77, Z: -18
X: 18, Y: -63, Z: 41
X: -13, Y: -46, Z: -2
X: -17, Y: -43, Z: 22
X: 17, Y: -72, Z: -16
X: -3, Y: -54, Z: 11
X: -10, Y: -31, Z: 17
X: -5, Y: -17, Z: -24
X: 15, Y: -65, Z: -24
X: 13, Y: -51, Z: 36
X: 6, Y: -39, Z: 11
X: -12, Y: -77, Z: 13
X: -36, Y: -29, Z: 19
X: 4, Y: 1, Z: 24
X: -9, Y: -6, Z: 38
X: 4, Y: -26, Z: 22
X: 15, Y: -46, Z: -7
X: -35, Y: -44, Z: 25
X: 0, Y: -13, Z: 39
X: -8, Y: -52, Z: 7
X: -4, Y: -43, Z: 7
X: -16, Y: -80, Z: 5
X: -6, Y: -79, Z: -30
X: 6, Y: -36, Z: 12
X: 3, Y: -41, Z: -20
X: -28, Y: -70, Z: 21
X: -2, Y: -15, Z: 6
X: -11, Y: -64, Z: -1
X: -44, Y: -32, Z: 12
X: -45, Y: -33, Z: 55
X: -9, Y: -40, Z: -7
X: -28, Y: -60, Z: 7
X: 42, Y: -30, Z: 27
X: -8, Y: -22, Z: -8
X: 19, Y: -61, Z: 12
X: 10, Y: -75, Z: -15
X: 4, Y: -37, Z: 9
X: -34, Y: -44, Z: 7
X: 0, Y: -27, Z: 38
X: -2, Y: -93, Z: 9
X: -13, Y: -20, Z: 35
X: 2, Y: -16, Z: 14
X: -17, Y: -52, Z: 17
X: 2, Y: -21, Z: 31
X: 1, Y: -39, Z: 29
X: -7, Y: -41, Z: 20
X: -12, Y: 4, Z: 1
X: -11, Y: -39, Z: 26
X: 14, Y: -1, Z: 45
X: -5, Y: -50, Z: 36
X: -1, Y: -36, Z: 13
X: 8, Y: -60, Z: 37
X: -17, Y: -82, Z: 19
X: -10, Y: -30, Z: 11
X: -2, Y: -80, Z: -14
X: -12, Y: -49, Z: -14
X: 12, Y: -60, Z: -15
X: 8, Y: -42, Z: 49
X: 23, Y: -17, Z: 18
X: 37, Y: -84, Z: 17
X: -29, Y: -10, Z: -20
X: -5, Y: -49, Z: 23
X: 6, Y: -25, Z: -4
X: -5, Y: -30, Z: 30
X: 8, Y: 1, Z: 21
X: -5, Y: -65, Z: 15
X: 9, Y: -32, Z: 39
X: -18, Y: -59, Z: 7
X: -28, Y: -50, Z: -9
X: -6, Y: -66, Z: 43
X: 10, Y: -71, Z: -35
X: 19, Y: -25, Z: -17
X: -8, Y: -41, Z: 6
X: -19, Y: -38, Z: -21
X: -9, Y: -37, Z: 5
X: -26, Y: -96, Z: 16
X: -11, Y: -75, Z: -42
X: -13, Y: -40, Z: 25
X: -9, Y: -55, Z: -13
X: 7, Y: -29, Z: 14
X: -28, Y: -31, Z: 15
X: -9, Y: -71, Z: -2
X: 0, Y: -19, Z: 8
X: -18, Y: -48, Z: 38
X: -14, Y: -32, Z: 15
X: -7, Y: -103, Z: 9
X: 7, Y: -9, Z: 7
X: -10, Y: -28, Z: -22
X: -14, Y: -48, Z: 3
X: 5, Y: -73, Z: 54
X: -6, Y: -29, Z: -9
X: 19, Y: -67, Z: 21
X: 9, Y: -36, Z: 9
X: -14, Y: -24, Z: 30
X: 27, Y: -45, Z: 50
X: 11, Y: -42, Z: 22
X: -10, Y: -83, Z: 12
X: -4, Y: 0, Z: 12
X: 8, Y: -48, Z: 6
X: 4, Y: -32, Z: 38
X: -24, Y: -49, Z: 5
X: 3, Y: -52, Z: 38
X: -4, Y: -76, Z: 0
X: 9, Y: -7, Z: 15
X: -13, Y: -21, Z: 30
X: 10, Y: -75, Z: 20
X: -26, Y: -25, Z: 15
X: -15, Y: -74, Z: -15
X: 21, Y: -29, Z: -22
X: 11, Y: -30, Z: -8
X: 17, Y: -72, Z: -1
X: -23, Y: -34, Z: -1
X: -18, Y: -10, Z: 12
X: -42, Y: -53, Z: 16
X: 1, Y: -65, Z: -10
X: -1, Y: -39, Z: -2
X: -12, Y: -73, Z: 23
X: -16, Y: -54, Z: 31
X: -47, Y: -39, Z: 12
X: 21, Y: -59, Z: -4
X: -10, Y: -70, Z: 29
X: -2, Y: -38, Z: 12
X: 10, Y: -19, Z: -4
X: 15, Y: -83, Z: 4
X: 21, Y: -46, Z: 60
X: 13, Y: -41, Z: 31
X: -19, Y: -60, Z: 26
X: -15, Y: -33, Z: 6
X: -28, Y: -30, Z: 18
X: 3, Y: -40, Z: -15
X: 16, Y: -59, Z: 15
X: 7, Y: -32, Z: 13
X: 5, Y: -91, Z: 12
X: 8, Y: -69, Z: 17
X: -11, Y: -19, Z: -14
X: -7, Y: -16, Z: 1
X: -1, Y: -31, Z: 23
X: 20, Y: -29, Z: 17
X: 16, Y: -49, Z: 34
X: 1, Y: -54, Z: -3
X: -1, Y: -32, Z: 2
X: 18, Y: -27, Z: 10
X: -5, Y: -65, Z: 19
X: 22, Y: -17, Z: 30
X: 2, Y: -53, Z: -10
X: -18, Y: -79, Z: -24
X: 23, Y: -46, Z: 2
X: -28, Y: -61, Z: 57
X: -3, Y: -33, Z: 9
X: 10, Y: -33, Z: -17
X: 8, Y: -36, Z: 50
X: -28, Y: -70, Z: 18
X: 26, Y: -66, Z: 11
X: 12, Y: -62, Z: 22
X: 0, Y: -40, Z: 18
X: -7, Y: -9, Z: 18
X: -8, Y: -60, Z: -25
X: -18, Y: -34, Z: -28
X: -18, Y: -54, Z: 11
X: 2, Y: -23, Z: 19
X: -11, Y: -59, Z: 1
X: 27, Y: -50, Z: 4
X: -19, Y: -95, Z: 0
X: -4, Y: -89, Z: 25
X: -5, Y: -68, Z: 25
X: 34, Y: 12, Z: 25
X: -11, Y: -66, Z: 15
X: -34, Y: -48, Z: 46
X: -6, Y: -50, Z: 16
X: 13, Y: -27, Z: -29
X: -21, Y: -10, Z: -13
X: 16, Y: -75, Z: 7
X: -7, Y: -45, Z: 57
X: 1, Y: -52, Z: -7
X: -20, Y: -45, Z: 18
X: -6, Y: -28, Z: 39
X: 9, Y: -29, Z: -18
X: -14, Y: -51, Z: 40
X: 2, Y: -20, Z: -14
X: 13, Y: -39, Z: 4
X: -4, Y: -62, Z: 16
X: -5, Y: -84, Z: 14
X: 4, Y: -21, Z: 39
X: -14, Y: -27, Z: -10
X: -3, Y: -13, Z: 27
X: -20, Y: -70, Z: 19
X: -12, Y: -71, Z: 36
X: -17, Y: -63, Z: -7
X: -13, Y: -7, Z: 3
X: -28, Y: -43, Z: 31
X: -20, Y: -57, Z: 20
X: -19, Y: -39, Z: 8
X: 1, Y: -40, Z: -12
X: -7, Y: -50, Z: 21
X: -2, Y: -58, Z: -14
X: -19, Y: -40, Z: 8
X: 13, Y: -76, Z: -2
X: 9, Y: -45, Z: 25
X: -7, Y: -85, Z: -2
X: -22, Y: 7, Z: 34
X: -4, Y: -10, Z: 4
X: -10, Y: -4, Z: 36
X: -8, Y: -29, Z: 41
X: -2, Y: -49, Z: 36
X: -1, Y: -13, Z: 25
X: -24, Y: -45, Z: 7
X: -9, Y: -9, Z: 18
X: -22, Y: -67, Z: 12
X: -16, Y: -24, Z: -2
X: 18, Y: -73, Z: 31
X: 6, Y: -57, Z: 18
X: -4, Y: -39, Z: 13
X: 10, Y: -90, Z: 32
X: -1, Y: -62, Z: 6
X: -18, Y: -52, Z: 16
X: 4, Y: -96, Z: 3
X: -4, Y: -96, Z: -16
X: 8, Y: -40, Z: -18
X: -27, Y: -21, Z: 20
X: 19, Y: -56, Z: 18
X: -5, Y: -53, Z: 7
X: -6, Y: 5, Z: 45
X: -16, Y: -19, Z: 3
X: -16, Y: -88, Z: -5
X: 12, Y: -15, Z: -18
X: -13, Y: -76, Z: 26
X: 9, Y: -62, Z: -24
X: 3, Y: -52, Z: 46
X: -5, Y: -64, Z: 43
X: 16, Y: -83, Z: -16
X: -2, Y: -13, Z: -9
X: 13, Y: -28, Z: 27
X: 0, Y: -38, Z: 47
X: 7, Y: -37, Z: 35
X: -20, Y: -68, Z: 1
X: 11, Y: -58, Z: -28
X: -4, Y: -54, Z: -28
X: -8, Y: -54, Z: -41
X: 27, Y: -32, Z: -11
X: 1, Y: 1, Z: 3
X: 0, Y: -24, Z: 26
X: 8, Y: -65, Z: -11
X: 1, Y: -42, Z: 51
X: 6, Y: -58, Z: 21
X: -25, Y: -4, Z: 16
X: 40, Y: 26, Z: 4
X: 1, Y: -55, Z: 11
X: -12, Y: -25, Z: 19
X: -13, Y: -50, Z: 28
X: 5, Y: -39, Z: -10
X: 6, Y: -34, Z: -8
X: -26, Y: -98, Z: 42
X: -33, Y: -57, Z: 27
X: -22, Y: -39, Z: 1
X: -17, Y: -59, Z: 69
X: -18, Y: -54, Z: 21
X: 1, Y: -15, Z: -10
X: -8, Y: -29, Z: 11
X: -27, Y: -14, Z: 12
X: -11, Y: -84, Z: 11
X: 3, Y: -27, Z: 3
X: -8, Y: -41, Z: 21
X: -20, Y: -61, Z: 47
X: -11, Y: -59, Z: 9
X: -9, Y: -28, Z: 50
X: -17, Y: -42, Z: 2
X: 0, Y: -57, Z: 43
X: -20, Y: -72, Z: 29
X: 12, Y: -66, Z: 4
X: -11, Y: -53, Z: 6
X: -26, Y: -40, Z: 34
X: -22, Y: -31, Z: 38
X: 7, Y: -36, Z: 28
X: -10, Y: 2, Z: -10
X: -19, Y: -39, Z: 4
X: 2, Y: -38, Z: 9
X: -28, Y: -37, Z: 31
X: -24, Y: -49, Z: 22
X: 17, Y: -1, Z: 10
X: 2, Y: -19, Z: -10
X: -14, Y: -18, Z: 9
X: -9, Y: -77, Z: 14
X: -29, Y: 6, Z: -4
X: 0, Y: -38, Z: 38
X: 1, Y: -15, Z: -2
X: 17, Y: -71, Z: 31
X: -24, Y: -69, Z: 4
X: -13, Y: -55, Z: 17
X: -31, Y: -52, Z: 45
X: -32, Y: -50, Z: 12
X: -18, Y: -42, Z: 31
X: -1, Y: -86, Z: 21
X: -10, Y: -60, Z: -12
X: -11, Y: -31, Z: 39
X: -5, Y: -71, Z: 4
X: 1, Y: -95, Z: 2
X: 12, Y: -46, Z: 10
X: 21, Y: -75, Z: -2
X: 4, Y: -42, Z: 31
X: -11, Y: -1, Z: 6
X: -16, Y: -13, Z: 26
X: -9, Y: -64, Z: -10
X: -13, Y: -77, Z: -4
X: -10, Y: -63, Z: 3
X: -17, Y: -15, Z: 39
X: 7, Y: -42, Z: 18
X: -12, Y: -32, Z: 22
X: 15, Y: -21, Z: 2
X: -14, Y: -34, Z: -10
X: 5, Y: -41, Z: -2
X: -19, Y: -26, Z: 15
X: -22, Y: -34, Z: 35
X: -9, Y: -28, Z: 0
X: -42, Y: -3, Z: -24
X: -2, Y: -28, Z: 13
X: 3, Y: -37, Z: 13
X: 6, Y: -59, Z: 9
X: -10, Y: -42, Z: -17
X: 8, Y: -85, Z: 10
X: 15, Y: -23, Z: 18
X: 16, Y: -68, Z: 16
X: 36, Y: -83, Z: -6
X: -10, Y: -59, Z: 34
X: -2, Y: -52, Z: 30
X: -15, Y: -56, Z: 24
X: -5, Y: -29, Z: -4
X: -10, Y: -106, Z: 16
X: 5, Y: -51, Z: 13
X: 6, Y: -63, Z: 6
X: -5, Y: -70, Z: -11
X: -5, Y: -40, Z: 18
X: 23, Y: -69, Z: -62
X: -7, Y: -56, Z: -5
X: -7, Y: -40, Z: 13
X: -17, Y: -30, Z: 19
X: -3, Y: -30, Z: 14
X: -26, Y: -53, Z: 0
X: -21, Y: -72, Z: -7
X: 10, Y: -32, Z: 10
X: -7, Y: -32, Z: 31
X: -16, Y: -66, Z: 28
X: -2, Y: -26, Z: -17
X: -6, Y: -32, Z: 13
X: 21, Y: -39, Z: 16
X: 2, Y: -43, Z: 5
X: 14, Y: -24, Z: 26
X: 6, Y: -71, Z: 7
X: -16, Y: -17, Z: -6
X: 0, Y: -13, Z: 6
X: 2, Y: -11, Z: 29
X: 8, Y: 1, Z: 9
X: 6, Y: -63, Z: -13
X: 6, Y: -29, Z: 16
X: -25, Y: -35, Z: 17
X: -2, Y: -33, Z: -13
X: -9, Y: -6, Z: -3
X: -8, Y: -72, Z: 4
X: -19, Y: -60, Z: 44
X: -16, Y: -46, Z: -5
X: 11, Y: -2, Z: 22
X: 15, Y: -12, Z: 8
X: -13, Y: -27, Z: 25
X: 1, Y: -61, Z: 37
X: -31, Y: -42, Z: 7
X: -26, Y: -39, Z: -6
X: -32, Y: -49, Z: 3
X: -4, Y: -50, Z: 21
X: 12, Y: -14, Z: 10
X: -4, Y: -43, Z: 20
X: 19, Y: -63, Z: -25
X: 11, Y: -37, Z: 2
X: -16, Y: -42, Z: -14
X: -21, Y: -52, Z: -9
X: 25, Y: -48, Z: -7
X: 6, Y: -26, Z: -4
X: 23, Y: -33, Z: 10
X: -30, Y: -8, Z: 31
X: 18, Y: -39, Z: -3
X: -15, Y: -21, Z: 54
X: -10, Y: -61, Z: -3
X: -5, Y: -59, Z: 37
X: -24, Y: -40, Z: -11
X: -8, Y: -37, Z: 39
X: -42, Y: -22, Z: -17
X: -9, Y: -29, Z: 18
X: 21, Y: -59, Z: 27
X: 27, Y: -38, Z: -14
X: 11, Y: -66, Z: 16
X: -7, Y: -46, Z: 16
X: -11, Y: -35, Z: -10
X: -5, Y: -32, Z: -11
X: -19, Y: -67, Z: 18
X: -9, Y: -47, Z: 21
X: 12, Y: -41, Z: 39
X: -15, Y: -35, Z: -1
X: 29, Y: -72, Z: -1
X: -18, Y: -49, Z: 31
X: 7, Y: -51, Z: -1
X: -29, Y: -7, Z: 39
X: 25, Y: -48, Z: -3
X: 12, Y: -36, Z: -21
X: -14, Y: -9, Z: 32
X: -7, Y: 13, Z: 14
X: -10, Y: -67, Z: 31
X: 11, Y: -32, Z: 3
X: -12, Y: -66, Z: 25
X: 3, Y: -64, Z: -3
X: -24, Y: -58, Z: -11
X: -1, Y: -26, Z: 45
X: 2, Y: -11, Z: 16
X: 13, Y: -69, Z: 0
X: -8, Y: -44, Z: 11
X: -13, Y: -1, Z: 3
X: -16, Y: -30, Z: -5
X: -24, Y: -30, Z: 2
X: 14, Y: -119, Z: 1
X: 3, Y: -58, Z: -1
X: 16, Y: -63, Z: 10
X: -6, Y: -42, Z: -4
X: 5, Y: -47, Z: 7
X: 6, Y: -12, Z: 6
X: 15, Y: -29, Z: -8
X: -18, Y: 11, Z: 18
X: 20, Y: -43, Z: 30
X: -30, Y: 1, Z: 3
X: 16, Y: -61, Z: -12
X: -20, Y: -45, Z: 25
X: 5, Y: -52, Z: -19
