X: 0, Y: 0, Z: 0
X: -13, Y: -29, Z: 6
X: 61, Y: -47, Z: 51
X: 5, Y: -34, Z: 7
X: 42, Y: -82, Z: 19
X: 42, Y: -20, Z: 20
X: 83, Y: -38, Z: 11
X: 69, Y: -31, Z: 6
X: -35, Y: -45, Z: 54
X: 19, Y: -43, Z: -3
X: -7, Y: 2, Z: 2
X: -22, Y: -23, Z: -28
X: -17, Y: 12, Z: 34
X: -38, Y: -16, Z: -14
X: 85, Y: -27, Z: -10
X: 44, Y: 22, Z: 19
X: -60, Y: -11, Z: -49
X: -181, Y: -62, Z: -66
X: 17, Y: -52, Z: -81
X: 131, Y: -19, Z: 348
X: 89, Y: -53, Z: 263
X: 164, Y: 9, Z: 507
X: -135, Y: -32, Z: 932
X: 43, Y: -49, Z: 1021
X: -36, Y: -58, Z: 1025
X: -31, Y: 2, Z: 1788
X: -60, Y: -32, Z: 3129
X: -47, Y: -12, Z: 4079
X: -60, Y: -32, Z: 3796
X: -83, Y: 17, Z: 3239
X: -67, Y: -28, Z: 3611
X: -56, Y: -15, Z: 4758
X: -83, Y: -85, Z: 4818
X: -91, Y: -40, Z: 4618
X: -24, Y: -28, Z: 5272
X: -124, Y: -3, Z: 6185
X: -25, Y: -43, Z: 6760
X: -86, Y: -40, Z: 7895
X: -128, Y: -31, Z: 8209
X: -87, Y: -80, Z: 7625
X: -57, Y: -45, Z: 5657
X: -73, Y: 1, Z: 4693
X: -49, Y: -34, Z: 5479
X: -14, Y: 33, Z: 6305
X: -39, Y: -42, Z: 6193
X: -1, Y: -85, Z: 5742
X: -32, Y: -34, Z: 5886
X: 17, Y: -30, Z: 6580
X: 52, Y: -47, Z: 6739
X: 53, Y: -48, Z: 6736
X: -1, Y: -46, Z: 7313
X: 22, Y: -26, Z: 7955
X: -20, Y: -11, Z: 8645
X: 18, Y: -58, Z: 8206
X: -55, Y: -67, Z: 9140
X: 6, Y: -62, Z: 9428
X: 15, Y: -30, Z: 9169
X: 6, Y: -50, Z: 9008
X: -93, Y: -64, Z: 10685
X: -107, Y: -6, Z: 11033
X: -31, Y: -49, Z: 10690
X: 46, Y: -31, Z: 10481
X: 102, Y: -53, Z: 10139
X: 171, Y: -50, Z: 10417
X: 55, Y: -53, Z: 13381
X: 64, Y: -15, Z: 14091
X: -50, Y: -44, Z: 13516
X: -49, Y: -43, Z: 13727
X: 16, Y: -50, Z: 14299
X: 27, Y: -13, Z: 13663
X: -12, Y: -16, Z: 14763
X: 7, Y: -45, Z: 16013
X: -124, Y: -16, Z: 16349
X: 152, Y: -62, Z: 19967
X: 124, Y: -94, Z: 21805
X: -4, Y: -23, Z: 20315
X: 4, Y: -42, Z: 19498
X: -30, Y: -22, Z: 20215
X: -98, Y: -45, Z: 21827
X: 110, Y: -38, Z: 21849
X: 156, Y: -1, Z: 21594
X: 43, Y: 33, Z: 22935
X: -103, Y: -31, Z: 21938
X: -106, Y: -40, Z: 17591
X: -205, Y: -26, Z: 17618
X: -240, Y: -33, Z: 19620
X: -219, Y: -29, Z: 20109
X: -204, Y: -88, Z: 19578
X: -237, Y: -31, Z: 20337
X: -238, Y: -75, Z: 20563
X: -314, Y: -118, Z: 23648
X: -389, Y: -104, Z: 24766
X: -82, Y: -101, Z: 23867
X: 163, Y: -70, Z: 25571
X: -56, Y: -90, Z: 28313
X: -193, Y: -162, Z: 27598
X: -412, Y: -155, Z: 27456
X: -35, Y: -174, Z: 25539
X: 132, Y: -89, Z: 26016
X: 319, Y: -115, Z: 29731
X: 332, Y: -131, Z: 24232
X: 4, Y: -55, Z: 18616
X: -189, Y: -19, Z: 17110
X: -199, Y: -85, Z: 12812
X: -66, Y: -62, Z: 10645
X: -132, Y: -9, Z: 9671
X: -37, Y: -34, Z: 11298
X: -157, Y: -73, Z: 14805
X: -38, Y: -70, Z: 15476
X: -47, Y: -21, Z: 10896
X: -62, Y: -37, Z: 4986
X: 4, Y: -49, Z: 1882
X: 37, Y: -3, Z: 230
X: -39, Y: -49, Z: -3
X: -156, Y: -42, Z: 12
X: -211, Y: -73, Z: -476
X: -4, Y: -32, Z: -2334
X: 68, Y: -50, Z: -3991
X: 104, Y: -41, Z: -6399
X: 104, Y: -12, Z: -9787
X: 133, Y: -19, Z: -12165
X: 202, Y: 25, Z: -11906
X: 185, Y: 7, Z: -14539
X: 267, Y: -14, Z: -18285
X: -250, Y: 48, Z: -18233
X: -268, Y: 28, Z: -17023
X: -276, Y: -3, Z: -14679
X: -114, Y: -44, Z: -14559
X: 84, Y: -21, Z: -17539
X: 251, Y: 36, Z: -21437
X: -92, Y: 26, Z: -23519
X: -52, Y: 12, Z: -20945
X: -29, Y: -6, Z: -18624
X: 16, Y: 53, Z: -16407
X: -65, Y: 26, Z: -16797
X: 7, Y: 28, Z: -16453
X: -265, Y: 17, Z: -7103
X: -229, Y: 7, Z: -8778
X: -199, Y: 29, Z: -10937
X: -104, Y: 13, Z: -15180
X: 113, Y: 15, Z: -14530
X: -43, Y: 74, Z: -15973
X: 14, Y: 27, Z: -14272
X: 18, Y: 54, Z: -13155
X: 88, Y: 50, Z: -13843
X: 12, Y: 31, Z: -13971
X: 172, Y: 13, Z: -13247
X: 260, Y: -18, Z: -14470
X: 107, Y: 30, Z: -16484
X: 149, Y: 19, Z: -17119
X: 49, Y: 45, Z: -17090
X: -46, Y: 32, Z: -16338
X: -122, Y: 46, Z: -16890
X: -273, Y: 67, Z: -19030
X: -207, Y: 71, Z: -18738
X: -112, Y: 71, Z: -19315
X: -17, Y: 145, Z: -21606
X: -54, Y: 98, Z: -22082
X: 9, Y: 157, Z: -22568
X: 125, Y: 135, Z: -22097
X: 6, Y: 113, Z: -21225
X: 113, Y: 139, Z: -22084
X: 175, Y: 168, Z: -25259
X: -10, Y: 140, Z: -26827
X: -106, Y: 122, Z: -24390
X: -157, Y: 104, Z: -25318
X: -114, Y: 116, Z: -25553
X: -30, Y: 127, Z: -24916
X: 96, Y: 137, Z: -26662
X: 254, Y: 117, Z: -26142
